time_sec,wall_time_s,vx_mps,vy_mps,vyaw_radps,last_move_ret
1.257651,1784133843.586343,0.000000,0.000000,0.000000,0
1.267709,1784133843.596402,0.000000,0.000000,0.000000,0
1.277766,1784133843.606458,0.000000,0.000000,0.000000,0
1.287831,1784133843.616526,0.000000,0.000000,0.000000,0
1.297894,1784133843.626587,0.000000,0.000000,0.000000,0
1.307954,1784133843.636647,0.000000,0.000000,0.000000,0
1.318011,1784133843.646703,0.000000,0.000000,0.000000,0
1.328070,1784133843.656763,0.000000,0.000000,0.000000,0
1.338128,1784133843.666820,0.000000,0.000000,0.000000,0
1.348189,1784133843.676882,0.000000,0.000000,0.000000,0
1.358247,1784133843.686939,0.000000,0.000000,0.000000,0
1.368308,1784133843.697001,0.000000,0.000000,0.000000,0
1.378367,1784133843.707059,0.000000,0.000000,0.000000,0
1.388427,1784133843.717119,0.000000,0.000000,0.000000,0
1.398493,1784133843.727185,0.000000,0.000000,0.000000,0
1.408560,1784133843.737257,0.000000,0.000000,0.000000,0
1.418622,1784133843.747314,0.000000,0.000000,0.000000,0
1.428681,1784133843.757373,0.000000,0.000000,0.000000,0
1.438739,1784133843.767432,0.000000,0.000000,0.000000,0
1.448801,1784133843.777494,0.000000,0.000000,0.000000,0
1.458859,1784133843.787551,0.000000,0.000000,0.000000,0
1.468920,1784133843.797612,0.000000,0.000000,0.000000,0
1.478979,1784133843.807672,0.000000,0.000000,0.000000,0
1.489038,1784133843.817731,0.000000,0.000000,0.000000,0
1.499096,1784133843.827789,0.000000,0.000000,0.000000,0
1.509157,1784133843.837850,0.000000,0.000000,0.000000,0
1.519217,1784133843.847910,0.000000,0.000000,0.000000,0
1.529277,1784133843.857969,0.000000,0.000000,0.000000,0
1.539334,1784133843.868027,0.000000,0.000000,0.000000,0
1.549396,1784133843.878089,0.000000,0.000000,0.000000,0
1.559455,1784133843.888148,0.000000,0.000000,0.000000,0
1.569516,1784133843.898209,0.000000,0.000000,0.000000,0
1.579574,1784133843.908267,0.000000,0.000000,0.000000,0
1.589634,1784133843.918327,0.000000,0.000000,0.000000,0
1.599695,1784133843.928388,0.000000,0.000000,0.000000,0
1.609765,1784133843.938461,0.000000,0.000000,0.000000,0
1.619829,1784133843.948523,0.000000,0.000000,0.000000,0
1.629891,1784133843.958585,0.000000,0.000000,0.000000,0
1.639951,1784133843.968644,0.000000,0.000000,0.000000,0
1.650015,1784133843.978709,0.000000,0.000000,0.000000,0
1.660083,1784133843.988776,0.000000,0.000000,0.000000,0
1.670145,1784133843.998838,0.000000,0.000000,0.000000,0
1.680204,1784133844.008897,0.000000,0.000000,0.000000,0
1.690263,1784133844.018955,0.000000,0.000000,0.000000,0
1.700322,1784133844.029014,0.000000,0.000000,0.000000,0
1.710380,1784133844.039073,0.000000,0.000000,0.000000,0
1.720442,1784133844.049136,0.000000,0.000000,0.000000,0
1.730500,1784133844.059193,0.000000,0.000000,0.000000,0
1.740562,1784133844.069255,0.000000,0.000000,0.000000,0
1.750620,1784133844.079313,0.000000,0.000000,0.000000,0
1.760682,1784133844.089375,0.000000,0.000000,0.000000,0
1.770741,1784133844.099434,0.000000,0.000000,0.000000,0
1.780802,1784133844.109497,0.000000,0.000000,0.000000,0
1.790862,1784133844.119554,0.000000,0.000000,0.000000,0
1.801378,1784133844.130071,0.000000,0.000000,0.000000,0
1.811445,1784133844.140141,0.000000,0.000000,0.000000,0
1.821510,1784133844.150203,0.000000,0.000000,0.000000,0
1.831567,1784133844.160259,0.000000,0.000000,0.000000,0
1.841626,1784133844.170319,0.000000,0.000000,0.000000,0
1.851684,1784133844.180376,0.000000,0.000000,0.000000,0
1.861747,1784133844.190440,0.000000,0.000000,0.000000,0
1.871805,1784133844.200497,0.000000,0.000000,0.000000,0
1.881864,1784133844.210557,0.000000,0.000000,0.000000,0
1.891922,1784133844.220615,0.000000,0.000000,0.000000,0
1.901983,1784133844.230675,0.000000,0.000000,0.000000,0
1.912041,1784133844.240733,0.000000,0.000000,0.000000,0
1.922099,1784133844.250791,0.000000,0.000000,0.000000,0
1.932157,1784133844.260849,0.000000,0.000000,0.000000,0
1.942218,1784133844.270911,0.000000,0.000000,0.000000,0
1.952276,1784133844.280969,0.000000,0.000000,0.000000,0
1.962337,1784133844.291030,0.000000,0.000000,0.000000,0
1.972354,1784133844.301046,0.000000,0.000000,0.000000,0
1.982413,1784133844.311106,0.000000,0.000000,0.000000,0
1.992471,1784133844.321163,0.000000,0.000000,0.000000,0
2.002536,1784133844.331230,0.000000,0.000000,0.000000,0
2.012597,1784133844.341291,0.000000,0.000000,0.000000,0
2.022659,1784133844.351352,0.000000,0.000000,0.000000,0
2.032719,1784133844.361412,0.000000,0.000000,0.000000,0
2.042780,1784133844.371474,0.000000,0.000000,0.000000,0
2.052838,1784133844.381531,0.000000,0.000000,0.000000,0
2.062898,1784133844.391591,0.000000,0.000000,0.000000,0
2.072956,1784133844.401649,0.000000,0.000000,0.000000,0
2.083017,1784133844.411711,0.000000,0.000000,0.000000,0
2.093076,1784133844.421768,0.000000,0.000000,0.000000,0
2.103135,1784133844.431828,0.000000,0.000000,0.000000,0
2.113192,1784133844.441885,0.000000,0.000000,0.000000,0
2.123251,1784133844.451944,0.000000,0.000000,0.000000,0
2.133311,1784133844.462003,0.000000,0.000000,0.000000,0
2.143371,1784133844.472064,0.000000,0.000000,0.000000,0
2.153430,1784133844.482122,0.000000,0.000000,0.000000,0
2.163490,1784133844.492183,0.000000,0.000000,0.000000,0
2.173552,1784133844.502245,0.000000,0.000000,0.000000,0
2.183611,1784133844.512304,0.000000,0.000000,0.000000,0
2.193670,1784133844.522362,0.000000,0.000000,0.000000,0
2.203736,1784133844.532433,0.000000,0.000000,0.000000,0
